[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train Fold3/train.txt -test Fold3/test.txt -validate Fold3/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart3.txt

[+] General Parameters:
Training data:  Fold3/train.txt
Test data:      Fold3/test.txt
Validation data:        Fold3/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart3.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold3/train.txt]... [Done.]
(6000 ranked lists, 719111 entries read)
Reading feature file [Fold3/vali.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Reading feature file [Fold3/test.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
297     | 0.448     | 0.4356    |
298     | 0.4481    | 0.4355    |
299     | 0.4482    | 0.4354    |
300     | 0.4482    | 0.4352    |
301     | 0.4483    | 0.4353    |
302     | 0.4486    | 0.4353    |
303     | 0.4486    | 0.4355    |
304     | 0.4489    | 0.4356    |
305     | 0.449     | 0.4356    |
306     | 0.449     | 0.4355    |
307     | 0.449     | 0.4356    |
308     | 0.4489    | 0.4352    |
309     | 0.4489    | 0.4354    |
310     | 0.4488    | 0.4354    |
311     | 0.4489    | 0.4355    |
312     | 0.4489    | 0.4354    |
313     | 0.4488    | 0.4356    |
314     | 0.4489    | 0.4355    |
315     | 0.449     | 0.4353    |
316     | 0.4489    | 0.4354    |
317     | 0.449     | 0.4354    |
318     | 0.4491    | 0.4355    |
319     | 0.4491    | 0.4358    |
320     | 0.4493    | 0.4355    |
321     | 0.4495    | 0.4357    |
322     | 0.4496    | 0.4358    |
323     | 0.4495    | 0.4357    |
324     | 0.4495    | 0.4356    |
325     | 0.4498    | 0.4358    |
326     | 0.4498    | 0.4357    |
327     | 0.4499    | 0.4358    |
328     | 0.4499    | 0.4357    |
329     | 0.4499    | 0.4357    |
330     | 0.4499    | 0.4357    |
331     | 0.4499    | 0.4357    |
332     | 0.45      | 0.4358    |
333     | 0.4499    | 0.4356    |
334     | 0.45      | 0.4357    |
335     | 0.4501    | 0.4357    |
336     | 0.45      | 0.4359    |
337     | 0.4499    | 0.436     |
338     | 0.4501    | 0.4358    |
339     | 0.45      | 0.4359    |
340     | 0.4501    | 0.4361    |
341     | 0.4501    | 0.436     |
342     | 0.4502    | 0.4363    |
343     | 0.4503    | 0.4364    |
344     | 0.4503    | 0.4362    |
345     | 0.4503    | 0.436     |
346     | 0.4503    | 0.436     |
347     | 0.4502    | 0.4361    |
348     | 0.4502    | 0.4362    |
349     | 0.4502    | 0.4362    |
350     | 0.4502    | 0.4362    |
351     | 0.4503    | 0.4362    |
352     | 0.4503    | 0.4364    |
353     | 0.4502    | 0.4364    |
354     | 0.4503    | 0.436     |
355     | 0.4503    | 0.4362    |
356     | 0.4504    | 0.436     |
357     | 0.4505    | 0.436     |
358     | 0.4505    | 0.4359    |
359     | 0.4505    | 0.436     |
360     | 0.4505    | 0.436     |
361     | 0.4505    | 0.436     |
362     | 0.4505    | 0.4361    |
363     | 0.4506    | 0.4362    |
364     | 0.4507    | 0.4362    |
365     | 0.4508    | 0.4361    |
366     | 0.4508    | 0.4361    |
367     | 0.4507    | 0.4361    |
368     | 0.4509    | 0.4361    |
369     | 0.4508    | 0.436     |
370     | 0.4508    | 0.4361    |
371     | 0.4509    | 0.4358    |
372     | 0.4509    | 0.436     |
373     | 0.4509    | 0.4357    |
374     | 0.4509    | 0.4357    |
375     | 0.4509    | 0.4358    |
376     | 0.4509    | 0.4358    |
377     | 0.4509    | 0.4358    |
378     | 0.451     | 0.436     |
379     | 0.4509    | 0.436     |
380     | 0.4509    | 0.436     |
381     | 0.4511    | 0.4364    |
382     | 0.4514    | 0.4368    |
383     | 0.4515    | 0.4367    |
384     | 0.4515    | 0.4369    |
385     | 0.4516    | 0.4367    |
386     | 0.4515    | 0.4368    |
387     | 0.4514    | 0.437     |
388     | 0.4516    | 0.4369    |
389     | 0.4516    | 0.437     |
390     | 0.4516    | 0.4372    |
391     | 0.4518    | 0.437     |
392     | 0.4518    | 0.4371    |
393     | 0.4518    | 0.437     |
394     | 0.4518    | 0.437     |
395     | 0.4519    | 0.4372    |
396     | 0.4518    | 0.4371    |
397     | 0.4519    | 0.4371    |
398     | 0.4519    | 0.437     |
399     | 0.4519    | 0.4371    |
400     | 0.4519    | 0.437     |
401     | 0.4518    | 0.437     |
402     | 0.452     | 0.4372    |
403     | 0.4521    | 0.4373    |
404     | 0.4521    | 0.4373    |
405     | 0.452     | 0.4371    |
406     | 0.4523    | 0.4375    |
407     | 0.4523    | 0.4379    |
408     | 0.4524    | 0.4376    |
409     | 0.4524    | 0.4376    |
410     | 0.4525    | 0.4377    |
411     | 0.4525    | 0.4375    |
412     | 0.4525    | 0.4375    |
413     | 0.4526    | 0.4376    |
414     | 0.4528    | 0.4375    |
415     | 0.4529    | 0.4375    |
416     | 0.4531    | 0.4378    |
417     | 0.4532    | 0.4381    |
418     | 0.4532    | 0.4379    |
419     | 0.4533    | 0.4379    |
420     | 0.4532    | 0.438     |
421     | 0.4533    | 0.4382    |
422     | 0.4533    | 0.4381    |
423     | 0.4533    | 0.4384    |
424     | 0.4534    | 0.4384    |
425     | 0.4533    | 0.4382    |
426     | 0.4534    | 0.4381    |
427     | 0.4534    | 0.4381    |
428     | 0.4533    | 0.4382    |
429     | 0.4533    | 0.4382    |
430     | 0.4533    | 0.4379    |
431     | 0.4533    | 0.4379    |
432     | 0.4533    | 0.4379    |
433     | 0.4533    | 0.4379    |
434     | 0.4533    | 0.4379    |
435     | 0.4533    | 0.4377    |
436     | 0.4533    | 0.4378    |
437     | 0.4534    | 0.4378    |
438     | 0.4535    | 0.4379    |
439     | 0.4534    | 0.4378    |
440     | 0.4535    | 0.4379    |
441     | 0.4537    | 0.4379    |
442     | 0.4537    | 0.4379    |
443     | 0.4538    | 0.4378    |
444     | 0.4538    | 0.4379    |
445     | 0.4537    | 0.4379    |
446     | 0.4537    | 0.4379    |
447     | 0.4538    | 0.4378    |
448     | 0.4539    | 0.4377    |
449     | 0.4539    | 0.4374    |
450     | 0.4539    | 0.4375    |
451     | 0.4538    | 0.4374    |
452     | 0.4539    | 0.4374    |
453     | 0.4539    | 0.4374    |
454     | 0.4539    | 0.4374    |
455     | 0.4539    | 0.4377    |
456     | 0.4539    | 0.4377    |
457     | 0.4539    | 0.4377    |
458     | 0.4539    | 0.4377    |
459     | 0.4539    | 0.4376    |
460     | 0.4539    | 0.4379    |
461     | 0.454     | 0.4378    |
462     | 0.4539    | 0.4376    |
463     | 0.4539    | 0.4376    |
464     | 0.4538    | 0.4375    |
465     | 0.4539    | 0.4375    |
466     | 0.4539    | 0.4376    |
467     | 0.454     | 0.4379    |
468     | 0.4541    | 0.4379    |
469     | 0.454     | 0.4379    |
470     | 0.4541    | 0.4378    |
471     | 0.4541    | 0.438     |
472     | 0.454     | 0.438     |
473     | 0.454     | 0.438     |
474     | 0.4539    | 0.438     |
475     | 0.4541    | 0.438     |
476     | 0.454     | 0.4381    |
477     | 0.4541    | 0.438     |
478     | 0.4542    | 0.438     |
479     | 0.4541    | 0.4379    |
480     | 0.4541    | 0.438     |
481     | 0.4541    | 0.438     |
482     | 0.4541    | 0.438     |
483     | 0.4541    | 0.438     |
484     | 0.4541    | 0.438     |
485     | 0.4542    | 0.4381    |
486     | 0.4542    | 0.4381    |
