[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
375     | 0.4449    | 0.4464    |
376     | 0.4451    | 0.4465    |
377     | 0.4455    | 0.4471    |
378     | 0.4456    | 0.4472    |
379     | 0.4456    | 0.4473    |
380     | 0.4459    | 0.4476    |
381     | 0.4458    | 0.4478    |
382     | 0.4458    | 0.4478    |
383     | 0.4458    | 0.4478    |
384     | 0.4457    | 0.4478    |
385     | 0.4458    | 0.4479    |
386     | 0.4457    | 0.4479    |
387     | 0.4457    | 0.4478    |
388     | 0.4458    | 0.448     |
389     | 0.4462    | 0.4484    |
390     | 0.4462    | 0.4484    |
391     | 0.4462    | 0.4484    |
392     | 0.4462    | 0.4486    |
393     | 0.4462    | 0.4485    |
394     | 0.4462    | 0.4486    |
395     | 0.4463    | 0.4486    |
396     | 0.4464    | 0.4486    |
397     | 0.4463    | 0.4487    |
398     | 0.4463    | 0.4487    |
399     | 0.4463    | 0.4489    |
400     | 0.4463    | 0.4489    |
401     | 0.4464    | 0.4489    |
402     | 0.4464    | 0.4489    |
403     | 0.4464    | 0.449     |
404     | 0.4464    | 0.4489    |
405     | 0.4464    | 0.4492    |
406     | 0.4464    | 0.4492    |
407     | 0.4464    | 0.4492    |
408     | 0.4464    | 0.4492    |
409     | 0.4465    | 0.4492    |
410     | 0.4465    | 0.4492    |
411     | 0.4465    | 0.4492    |
412     | 0.4465    | 0.4494    |
413     | 0.4465    | 0.4493    |
414     | 0.4465    | 0.4493    |
415     | 0.4465    | 0.4493    |
416     | 0.4465    | 0.4493    |
417     | 0.4466    | 0.4491    |
418     | 0.4467    | 0.4491    |
419     | 0.4468    | 0.449     |
420     | 0.4467    | 0.4489    |
421     | 0.4467    | 0.4489    |
422     | 0.4468    | 0.4489    |
423     | 0.4468    | 0.4489    |
424     | 0.4467    | 0.4489    |
425     | 0.4468    | 0.4489    |
426     | 0.4468    | 0.4489    |
427     | 0.4468    | 0.4489    |
428     | 0.4468    | 0.449     |
429     | 0.4469    | 0.449     |
430     | 0.4471    | 0.4491    |
431     | 0.447     | 0.4493    |
432     | 0.4471    | 0.4496    |
433     | 0.447     | 0.4494    |
434     | 0.447     | 0.4494    |
435     | 0.447     | 0.4495    |
436     | 0.4469    | 0.4495    |
437     | 0.4469    | 0.4495    |
438     | 0.4469    | 0.4494    |
439     | 0.4469    | 0.4493    |
440     | 0.4469    | 0.4493    |
441     | 0.4471    | 0.4493    |
442     | 0.4471    | 0.4493    |
443     | 0.4472    | 0.4493    |
444     | 0.4472    | 0.4493    |
445     | 0.4472    | 0.4492    |
446     | 0.4471    | 0.4493    |
447     | 0.4471    | 0.4492    |
448     | 0.4471    | 0.4493    |
449     | 0.4471    | 0.4492    |
450     | 0.447     | 0.4492    |
451     | 0.447     | 0.4492    |
452     | 0.447     | 0.4492    |
453     | 0.447     | 0.4491    |
454     | 0.447     | 0.4492    |
455     | 0.4471    | 0.4491    |
456     | 0.4472    | 0.4491    |
457     | 0.4473    | 0.449     |
458     | 0.4472    | 0.4491    |
459     | 0.4475    | 0.4488    |
460     | 0.4475    | 0.4488    |
461     | 0.4477    | 0.4488    |
462     | 0.4477    | 0.4489    |
463     | 0.4476    | 0.4489    |
464     | 0.4476    | 0.4489    |
465     | 0.4475    | 0.449     |
466     | 0.4477    | 0.4491    |
467     | 0.448     | 0.4492    |
468     | 0.4479    | 0.4495    |
469     | 0.4479    | 0.4493    |
470     | 0.448     | 0.4496    |
471     | 0.448     | 0.4497    |
472     | 0.4482    | 0.4496    |
473     | 0.4483    | 0.4497    |
474     | 0.4483    | 0.4498    |
475     | 0.4483    | 0.4499    |
476     | 0.4482    | 0.4499    |
477     | 0.4483    | 0.4499    |
478     | 0.4485    | 0.4501    |
479     | 0.4485    | 0.45      |
480     | 0.4485    | 0.45      |
481     | 0.4483    | 0.4495    |
482     | 0.4484    | 0.4499    |
483     | 0.4485    | 0.4496    |
484     | 0.4486    | 0.4495    |
485     | 0.4487    | 0.4497    |
486     | 0.4486    | 0.4498    |
487     | 0.4486    | 0.4499    |
488     | 0.4486    | 0.4496    |
489     | 0.4485    | 0.4494    |
490     | 0.4484    | 0.4495    |
491     | 0.4484    | 0.4497    |
492     | 0.4485    | 0.4495    |
493     | 0.4486    | 0.4495    |
494     | 0.4487    | 0.4498    |
495     | 0.4487    | 0.4498    |
496     | 0.4487    | 0.4498    |
497     | 0.4487    | 0.4496    |
498     | 0.4488    | 0.4496    |
499     | 0.4488    | 0.4496    |
500     | 0.4486    | 0.4497    |
