[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar  -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel_new_lm.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel_new_lm.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
234     | 0.4489    | 0.4479    |
235     | 0.4489    | 0.448     |
236     | 0.449     | 0.4483    |
237     | 0.4491    | 0.4483    |
238     | 0.4491    | 0.4482    |
239     | 0.449     | 0.4484    |
240     | 0.4492    | 0.4486    |
241     | 0.4492    | 0.4487    |
242     | 0.4492    | 0.4487    |
243     | 0.4493    | 0.4487    |
244     | 0.4495    | 0.4487    |
245     | 0.4496    | 0.4486    |
246     | 0.4497    | 0.4486    |
247     | 0.4497    | 0.4486    |
248     | 0.4497    | 0.4487    |
249     | 0.4498    | 0.4486    |
250     | 0.4497    | 0.4486    |
251     | 0.4499    | 0.4488    |
252     | 0.4498    | 0.4488    |
253     | 0.4499    | 0.4489    |
254     | 0.4499    | 0.449     |
255     | 0.4499    | 0.4488    |
256     | 0.4501    | 0.4488    |
257     | 0.45      | 0.449     |
258     | 0.4501    | 0.4491    |
259     | 0.45      | 0.4491    |
260     | 0.4499    | 0.4493    |
261     | 0.4507    | 0.45      |
262     | 0.4507    | 0.45      |
263     | 0.4507    | 0.4501    |
264     | 0.4507    | 0.4498    |
265     | 0.4509    | 0.4497    |
266     | 0.451     | 0.4496    |
267     | 0.4511    | 0.4496    |
268     | 0.4513    | 0.4496    |
269     | 0.4514    | 0.4501    |
270     | 0.4514    | 0.4504    |
271     | 0.4516    | 0.4503    |
272     | 0.4518    | 0.4503    |
273     | 0.452     | 0.4503    |
274     | 0.4522    | 0.4503    |
275     | 0.4522    | 0.4502    |
276     | 0.4523    | 0.4501    |
277     | 0.4522    | 0.4503    |
278     | 0.4522    | 0.4503    |
279     | 0.4522    | 0.4503    |
280     | 0.4524    | 0.4504    |
281     | 0.4525    | 0.4505    |
282     | 0.4526    | 0.4506    |
283     | 0.4526    | 0.4507    |
284     | 0.4526    | 0.4504    |
285     | 0.4526    | 0.4505    |
286     | 0.4526    | 0.4504    |
287     | 0.4527    | 0.4503    |
288     | 0.4527    | 0.4503    |
289     | 0.4526    | 0.4503    |
290     | 0.4528    | 0.4506    |
291     | 0.4528    | 0.4506    |
292     | 0.4529    | 0.451     |
293     | 0.453     | 0.451     |
294     | 0.4528    | 0.451     |
295     | 0.4528    | 0.4512    |
296     | 0.4529    | 0.4512    |
297     | 0.4529    | 0.4512    |
298     | 0.4529    | 0.4513    |
299     | 0.4529    | 0.4511    |
300     | 0.4529    | 0.4511    |
301     | 0.4529    | 0.4511    |
302     | 0.4529    | 0.4511    |
303     | 0.453     | 0.4511    |
304     | 0.4531    | 0.4511    |
305     | 0.4531    | 0.4511    |
306     | 0.4532    | 0.4512    |
307     | 0.4533    | 0.4512    |
308     | 0.4534    | 0.4514    |
309     | 0.4535    | 0.4513    |
310     | 0.4535    | 0.4513    |
311     | 0.4536    | 0.4512    |
312     | 0.4537    | 0.4513    |
313     | 0.4536    | 0.4516    |
314     | 0.4536    | 0.4516    |
315     | 0.4538    | 0.4515    |
316     | 0.4541    | 0.4518    |
317     | 0.4541    | 0.4517    |
318     | 0.4541    | 0.4517    |
319     | 0.4541    | 0.4518    |
320     | 0.4544    | 0.452     |
321     | 0.4547    | 0.4524    |
322     | 0.4548    | 0.4524    |
323     | 0.4547    | 0.4523    |
