[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train Fold3/train.txt -test Fold3/test.txt -validate Fold3/vali.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-rankboost3.txt

[+] General Parameters:
Training data:  Fold3/train.txt
Test data:      Fold3/test.txt
Validation data:        Fold3/vali.txt
Feature vector representation: Dense.
Ranking method: RankBoost
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-rankboost3.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [Fold3/train.txt]... [Done.]
(6000 ranked lists, 719111 entries read)
Reading feature file [Fold3/vali.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Reading feature file [Fold3/test.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V |
--------------------------------------------------------------------
206     | 125      | -35.1055  | 0.002     | 0.3423    | 0.3308    |
207     | 129      | 33.2      | 0.002     | 0.3423    | 0.3307    |
208     | 125      | -35.1055  | 0.002     | 0.3424    | 0.3308    |
209     | 109      | 21.3044   | 0.002     | 0.3423    | 0.3307    |
210     | 115      | -38.45    | 0.002     | 0.3423    | 0.3307    |
211     | 115      | -38.45    | 0.002     | 0.3423    | 0.3307    |
212     | 115      | -38.45    | 0.002     | 0.3424    | 0.3307    |
213     | 55       | 0.0801    | 0.002     | 0.3423    | 0.3306    |
214     | 115      | -38.45    | 0.002     | 0.3423    | 0.3308    |
215     | 115      | -38.45    | 0.0019    | 0.3424    | 0.3308    |
216     | 64       | 0.2471    | 0.0019    | 0.3424    | 0.3309    |
217     | 108      | 28.4579   | 0.0019    | 0.3425    | 0.331     |
218     | 115      | -38.45    | 0.0019    | 0.3425    | 0.331     |
219     | 125      | -35.1055  | 0.0019    | 0.3425    | 0.3311    |
220     | 115      | -38.45    | 0.0019    | 0.3425    | 0.331     |
221     | 129      | 33.2      | 0.0019    | 0.3424    | 0.3311    |
222     | 123      | -37.2379  | 0.0019    | 0.3424    | 0.3312    |
223     | 116      | -18.5667  | 0.0019    | 0.3424    | 0.3311    |
224     | 115      | -38.45    | 0.0019    | 0.3424    | 0.3311    |
225     | 115      | -38.45    | 0.0019    | 0.3424    | 0.3311    |
226     | 109      | 21.3044   | 0.0019    | 0.3424    | 0.331     |
227     | 115      | -38.45    | 0.0019    | 0.3424    | 0.331     |
228     | 115      | -38.45    | 0.0019    | 0.3424    | 0.331     |
229     | 107      | 14.7495   | 0.0019    | 0.3423    | 0.331     |
230     | 123      | -37.2379  | 0.0019    | 0.3423    | 0.331     |
231     | 64       | 0.2471    | 0.0019    | 0.3425    | 0.3311    |
232     | 115      | -38.45    | 0.0019    | 0.3425    | 0.3311    |
233     | 115      | -38.45    | 0.0019    | 0.3425    | 0.3312    |
