[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold2/train.txt -test Fold2/test.txt -validate Fold2/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-lm2.txt

[+] General Parameters:
Training data:  Fold2/train.txt
Test data:      Fold2/test.txt
Validation data:        Fold2/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold2/train.txt]... [Done.]
(6000 ranked lists, 716683 entries read)
Reading feature file [Fold2/vali.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Reading feature file [Fold2/test.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
265     | 0.4556    | 0.4378    |
266     | 0.4558    | 0.438     |
267     | 0.4561    | 0.4384    |
268     | 0.4564    | 0.4383    |
269     | 0.4563    | 0.4386    |
270     | 0.4564    | 0.4386    |
271     | 0.4564    | 0.4387    |
272     | 0.4564    | 0.4387    |
273     | 0.4563    | 0.4386    |
274     | 0.4567    | 0.439     |
275     | 0.4568    | 0.439     |
276     | 0.4568    | 0.4387    |
277     | 0.4569    | 0.4386    |
278     | 0.457     | 0.4383    |
279     | 0.4569    | 0.4385    |
280     | 0.457     | 0.4386    |
281     | 0.4571    | 0.4387    |
282     | 0.4573    | 0.439     |
283     | 0.4573    | 0.4389    |
284     | 0.4573    | 0.439     |
285     | 0.4577    | 0.4397    |
286     | 0.4576    | 0.4397    |
287     | 0.4576    | 0.4399    |
288     | 0.4577    | 0.4398    |
289     | 0.4577    | 0.4398    |
290     | 0.4578    | 0.4398    |
291     | 0.4581    | 0.4398    |
292     | 0.458     | 0.4397    |
293     | 0.458     | 0.4397    |
294     | 0.4581    | 0.4398    |
295     | 0.4581    | 0.4397    |
296     | 0.4584    | 0.4395    |
297     | 0.4584    | 0.4394    |
298     | 0.4584    | 0.4394    |
299     | 0.4584    | 0.4396    |
300     | 0.4586    | 0.4395    |
301     | 0.4586    | 0.4398    |
302     | 0.4585    | 0.4398    |
303     | 0.4586    | 0.4397    |
304     | 0.4586    | 0.4398    |
305     | 0.4587    | 0.4399    |
306     | 0.4589    | 0.44      |
307     | 0.4591    | 0.4399    |
308     | 0.4591    | 0.4399    |
309     | 0.4592    | 0.4399    |
310     | 0.4593    | 0.44      |
311     | 0.4593    | 0.44      |
312     | 0.4592    | 0.4401    |
313     | 0.4592    | 0.44      |
314     | 0.4592    | 0.44      |
315     | 0.4594    | 0.4402    |
