[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-rankboost.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: RankBoost
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V |
--------------------------------------------------------------------
144     | 110      | 44.6966   | 0.003     | 0.3382    | 0.3364    |
145     | 129      | 35.6      | 0.003     | 0.3383    | 0.3364    |
146     | 115      | -32.0689  | 0.0029    | 0.3384    | 0.3364    |
147     | 113      | -29.3383  | 0.0029    | 0.3383    | 0.3365    |
148     | 110      | 44.6966   | 0.0029    | 0.3383    | 0.3365    |
149     | 115      | -32.0689  | 0.0029    | 0.3383    | 0.3365    |
150     | 48       | 0.6       | 0.0029    | 0.3385    | 0.3361    |
151     | 125      | -32.6877  | 0.0028    | 0.3385    | 0.3361    |
152     | 129      | 35.6      | 0.0028    | 0.3384    | 0.3361    |
153     | 110      | 44.6966   | 0.0028    | 0.3384    | 0.3362    |
154     | 80       | 219.3287  | 0.0028    | 0.3384    | 0.3364    |
155     | 115      | -32.0689  | 0.0028    | 0.3383    | 0.3364    |
156     | 113      | -29.3383  | 0.0028    | 0.3383    | 0.3364    |
157     | 110      | 44.6966   | 0.0028    | 0.3383    | 0.3366    |
158     | 115      | -32.0689  | 0.0028    | 0.3383    | 0.3366    |
159     | 115      | -32.0689  | 0.0027    | 0.3384    | 0.3366    |
160     | 80       | 219.3287  | 0.0027    | 0.3385    | 0.3367    |
161     | 115      | -16.0345  | 0.0027    | 0.3384    | 0.3368    |
162     | 129      | 35.6      | 0.0027    | 0.3384    | 0.3368    |
163     | 110      | 44.6966   | 0.0027    | 0.3385    | 0.3368    |
164     | 65       | 0.0801    | 0.0027    | 0.3383    | 0.3368    |
165     | 115      | -32.0689  | 0.0027    | 0.3383    | 0.3368    |
166     | 113      | -29.3383  | 0.0027    | 0.3383    | 0.3368    |
167     | 125      | -32.6877  | 0.0027    | 0.3383    | 0.3368    |
168     | 110      | 44.6966   | 0.0026    | 0.3383    | 0.3368    |
169     | 107      | 19.5228   | 0.0026    | 0.3382    | 0.3369    |
170     | 115      | -32.0689  | 0.0026    | 0.3383    | 0.3369    |
171     | 129      | 35.6      | 0.0026    | 0.3383    | 0.3367    |
172     | 80       | 219.3287  | 0.0026    | 0.3383    | 0.3367    |
173     | 113      | -29.3383  | 0.0026    | 0.3383    | 0.3368    |
174     | 110      | 44.6966   | 0.0026    | 0.3382    | 0.3367    |
175     | 64       | 0.12      | 0.0026    | 0.3383    | 0.3368    |
176     | 115      | -32.0689  | 0.0026    | 0.3383    | 0.3368    |
177     | 125      | -32.6877  | 0.0025    | 0.3383    | 0.3368    |
178     | 110      | 44.6966   | 0.0025    | 0.3383    | 0.3368    |
179     | 115      | -32.0689  | 0.0025    | 0.3383    | 0.3368    |
180     | 107      | 19.5228   | 0.0025    | 0.3383    | 0.3368    |
181     | 80       | 219.3287  | 0.0025    | 0.3383    | 0.3368    |
182     | 129      | 35.6      | 0.0025    | 0.3383    | 0.3368    |
183     | 113      | -29.3383  | 0.0025    | 0.3383    | 0.3368    |
184     | 110      | 44.6966   | 0.0025    | 0.3384    | 0.3367    |
185     | 130      | 58990.6   | 0.0025    | 0.3385    | 0.3368    |
186     | 115      | -32.0689  | 0.0025    | 0.3385    | 0.3368    |
187     | 115      | -32.0689  | 0.0024    | 0.3385    | 0.3368    |
188     | 110      | 44.6966   | 0.0024    | 0.3385    | 0.3368    |
189     | 59       | 0.24      | 0.0024    | 0.3385    | 0.3369    |
190     | 80       | 219.3287  | 0.0024    | 0.3385    | 0.3369    |
191     | 125      | -32.6877  | 0.0024    | 0.3384    | 0.3369    |
192     | 107      | 19.5228   | 0.0024    | 0.3385    | 0.337     |
193     | 113      | -29.3383  | 0.0024    | 0.3385    | 0.337     |
194     | 129      | 35.6      | 0.0024    | 0.3386    | 0.3369    |
195     | 115      | -32.0689  | 0.0024    | 0.3386    | 0.3369    |
196     | 108      | 25.3757   | 0.0024    | 0.3388    | 0.3368    |
197     | 110      | 44.6966   | 0.0024    | 0.3388    | 0.3368    |
198     | 115      | -32.0689  | 0.0023    | 0.3388    | 0.3368    |
199     | 80       | 219.3287  | 0.0023    | 0.3388    | 0.3368    |
200     | 132      | 26.3      | 0.0023    | 0.3387    | 0.3364    |
201     | 115      | -32.0689  | 0.0023    | 0.3386    | 0.3364    |
202     | 110      | 44.6966   | 0.0023    | 0.3387    | 0.3365    |
203     | 129      | 35.6      | 0.0023    | 0.3386    | 0.3364    |
204     | 113      | -29.3383  | 0.0023    | 0.3386    | 0.3364    |
205     | 107      | 19.5228   | 0.0023    | 0.3386    | 0.3365    |
206     | 125      | -32.6877  | 0.0023    | 0.3386    | 0.3365    |
207     | 59       | 0.24      | 0.0023    | 0.3389    | 0.3365    |
208     | 110      | 44.6966   | 0.0023    | 0.3388    | 0.3365    |
209     | 115      | -32.0689  | 0.0022    | 0.3388    | 0.3365    |
210     | 80       | 219.3287  | 0.0022    | 0.3387    | 0.3365    |
211     | 115      | -32.0689  | 0.0022    | 0.3388    | 0.3365    |
212     | 113      | -29.3383  | 0.0022    | 0.3388    | 0.3365    |
213     | 110      | 44.6966   | 0.0022    | 0.3388    | 0.3366    |
214     | 129      | 35.6      | 0.0022    | 0.3388    | 0.3367    |
215     | 107      | 19.5228   | 0.0022    | 0.3388    | 0.3367    |
216     | 115      | -32.0689  | 0.0022    | 0.3389    | 0.3367    |
217     | 115      | -16.0345  | 0.0022    | 0.3388    | 0.3367    |
218     | 131      | 45874.8   | 0.0022    | 0.3388    | 0.3366    |
219     | 125      | -32.6877  | 0.0022    | 0.3389    | 0.3366    |
220     | 110      | 44.6966   | 0.0021    | 0.3388    | 0.3366    |
221     | 80       | 219.3287  | 0.0021    | 0.3388    | 0.3366    |
222     | 59       | 0.24      | 0.0021    | 0.339     | 0.3364    |
223     | 115      | -32.0689  | 0.0021    | 0.3389    | 0.3364    |
224     | 113      | -29.3383  | 0.0021    | 0.339     | 0.3364    |
225     | 110      | 44.6966   | 0.0021    | 0.339     | 0.3364    |
226     | 115      | -32.0689  | 0.0021    | 0.339     | 0.3364    |
227     | 130      | 6643.4    | 0.0021    | 0.3392    | 0.337     |
228     | 3        | 3.0       | 0.0021    | 0.3392    | 0.337     |
229     | 65       | 0.0801    | 0.0021    | 0.3392    | 0.3371    |
230     | 107      | 19.5228   | 0.0021    | 0.3391    | 0.3371    |
231     | 129      | 35.6      | 0.0021    | 0.3392    | 0.337     |
232     | 115      | -32.0689  | 0.0021    | 0.3392    | 0.337     |
233     | 48       | 0.6       | 0.0021    | 0.3393    | 0.337     |
234     | 80       | 219.3287  | 0.0021    | 0.3393    | 0.337     |
235     | 110      | 44.6966   | 0.0021    | 0.3393    | 0.337     |
236     | 3        | 3.0       | 0.002     | 0.3394    | 0.3371    |
237     | 125      | -32.6877  | 0.002     | 0.3394    | 0.3371    |
238     | 113      | -29.3383  | 0.002     | 0.3394    | 0.3372    |
239     | 110      | 44.6966   | 0.002     | 0.3394    | 0.3372    |
